tconst,titleType,originalTitle,isAdult,startYear,genres,averageRating,numVotes,description
tt2321341,movie,House of Bodies,0,2016,"Crime,Drama,Thriller",3.9,7161,ww lonely german airraid warden captures two downed
tt4511200,movie,Manifesto,0,2015,Drama,6.5,7160,ski girls college weekend todd craig pretend jane
tt1724962,movie,Autoreiji: Biyondo,0,2012,"Action,Crime,Drama",6.7,7160,college volunteer crisis phone gets call suicide caller
tt3486626,movie,The Nut Job 2: Nutty by Nature,0,2017,"Adventure,Animation,Comedy",5.5,7159,wwii lieut martino men assigned lead group prostitutes
tt8436026,movie,Lykke-Per,0,2018,"Drama,Romance",7.2,7157,year spaceship hope one sets find new galaxies
tt0109120,movie,Andre,0,1994,"Adventure,Drama,Family",5.7,7156,british agent alec leamas richard burton refuses come
tt0064100,movie,Bob & Carol & Ted & Alice,0,1969,"Comedy,Drama,Romance",6.7,7155,college girl karen visits dad marine biologist island
tt2082221,movie,Bumchoiwaui junjaeng: Nabbeunnomdeul jeonsungshidae,0,2012,"Action,Crime,Drama",7.0,7155,young man whos marry torn fiance love mother
tt0086650,movie,À nos amours,0,1983,"Drama,Romance",7.1,7154,sherlock holmes dr john h watson join hunt
tt9635540,movie,Darbar,0,2020,"Action,Crime,Thriller",5.9,7154,summers sylvia west young poetess engaged frederic eccentric
tt6054758,movie,Kirik Party,0,2016,"Comedy,Drama,Romance",8.3,7153,hungary national movement led kossuth crushed austrian hegemony
tt0119843,movie,Oscar and Lucinda,0,1997,"Drama,Romance",6.5,7153,planet landing mysterious team astronauts begin turn swayed
tt1699518,movie,Le jeune Karl Marx,0,2017,"Biography,Drama,History",6.6,7152,kidnapped bank teller uses neighbors wandering cat send
tt0387059,movie,Bee Season,0,2005,"Drama,Family",5.5,7151,joan howell young pretty maidforhire meets begins dating
tt3197766,movie,Saat po long 2,0,2015,"Action,Adventure,Crime",6.7,7151,man involved car crash suffering amnesia appears killed
tt4807830,movie,Lipstick Under My Burkha,0,2016,"Comedy,Drama",6.8,7149,cam area story calloway family live densely wooded
tt0257290,movie,Üvegtigris,0,2001,Comedy,7.7,7148,middleaged iconoclast doggedly avoiding tedium employment conventional life
tt2062969,movie,L'enfant d'en haut,0,2012,"Crime,Drama",7.0,7146,james bond heads bahamas recover two nuclear warheads
tt0380366,movie,Ae Fond Kiss...,0,2004,"Drama,Romance",7.1,7144,serving conviction former gunman returns town planning live
tt0093171,movie,Hell Comes to Frogtown,0,1988,"Action,Comedy,Sci-Fi",5.5,7144,pfc molnr decides wwii services serious money hidden
tt0079182,movie,Fukushû suru wa ware ni ari,0,1979,"Crime,Drama",7.7,7143,residents saltkrkan gets new problems malin peter get
tt0103039,movie,Talkin' Dirty After Dark,0,1991,Comedy,5.1,7140,joy torture anthology made three separate stories intersect
tt1216300,movie,Jannat: In Search of Heaven...,0,2008,"Crime,Drama,Romance",6.9,7138,three stories set beginning middle end ww hero
tt1093369,movie,Hush,0,2008,"Horror,Thriller",6.0,7137,farcical adventures unhappy suicidal billionaire arthur lempereur
tt0101020,movie,Chung hang sei hoi,0,1991,"Action,Comedy,Crime",6.7,7136,rough factory worker distant rural town russia becomes
tt4665630,movie,Swinger,0,2016,"Comedy,Romance",5.5,7134,daughter psychotic magician must stay mansion seven nights
tt0110557,movie,Monkey Trouble,0,1994,"Adventure,Comedy,Crime",5.3,7132,hooded serial killer finds novel way murder victimshe
tt1900908,movie,Klip,0,2012,Drama,5.6,7126,childhood sandra returns village take care family business
tt0465676,movie,Ye yan,0,2006,"Action,Drama,Fantasy",6.4,7126,rich man asks womanizing playboy marry daughter make
tt1376213,movie,The Adventurer: The Curse of the Midas Box,0,2013,"Adventure,Family,Fantasy",5.4,7125,worker called hurry remove snow city street try
tt0442286,movie,Kakushi ken: Oni no tsume,0,2004,"Drama,History,Romance",7.7,7119,warhols strange interpretation clockwork orange includes gerard dancing
tt0168172,movie,Simon Sez,0,1999,"Action,Comedy",2.6,7119,napoleons tumultuous relations russia including disastrous invasion serve
tt1965065,movie,Save the Date,0,2012,"Comedy,Romance",5.7,7118,american pow leads group mainly british prisoners escape
tt3417854,movie,Pocket Listing,0,2015,"Comedy,Crime,Thriller",5.2,7118,colonization moon spaceships vega sirius capella launched lunar
tt0086143,movie,Private School,0,1983,"Comedy,Romance",5.2,7116,young boxer andrzej leszczyc face tough boxing opponent
tt0425321,movie,Omaret yakobean,0,2006,Drama,7.5,7116,members family separated natural disaster several years line
tt5125894,movie,Poms,0,2019,"Comedy,Drama,Sport",6.1,7116,cornwall group locals discover underwater city dating back
tt1821426,movie,Family Weekend,0,2013,"Comedy,Drama",6.2,7115,th century normandy norman duke sends one knights
tt4538916,movie,Finding Your Feet,0,2017,"Comedy,Drama,Family",6.7,7114,playboy refuses give hedonistic lifestyle settle marry true
tt7205316,movie,MILF,0,2018,Comedy,4.8,7113,mission local doctor recruited cold war spy fulfill
tt0089108,movie,Esperando la carroza,0,1985,Comedy,8.0,7111,yearold girl runs away east coast home going
tt0482930,movie,Lung foo moon,0,2006,"Action,Fantasy,Thriller",6.1,7110,deranged scientist using employers topsecret biolaboratory engage clandestine
tt0159784,movie,Takedown,0,2000,"Biography,Crime,Drama",6.2,7109,rollins winnetou gang wants grab land inciting settlers
tt0065670,movie,12 stulev,0,1971,"Adventure,Comedy,Crime",8.2,7108,four astronauts dorothy doc charlie steve crash land
tt0075793,movie,C'eravamo tanto amati,0,1974,"Comedy,Drama",8.0,7106,man referred yankee rides dying desolate town frontier
